from_node,to_node,length_m,free_flow_speed_kmh,lanes,capacity,road_name,district,oneway,lanes_imputed,speed_imputed,road_name_missing,district_matched_by
746174341,4634092568,357.938,50.00000000000001,4,5439,東興路三段,西區,no,False,True,False,contains
746174381,746174412,11.174,50.0,1,1360,漢口路一段,西屯區,no,True,True,False,contains
746174381,3683225211,211.45,60.0,3,4079,臺灣大道二段,西屯區,yes,False,False,False,contains
746174412,746174381,11.174,50.0,1,1360,漢口路一段,西屯區,no,True,True,False,contains
746174412,2222553885,341.706,50.0,1,1360,臺灣大道二段,西屯區,yes,True,True,False,contains
752671758,2336845121,4279.505999999999,49.976121385458285,1,1360,十甲東路,東區,no,True,True,False,contains
753036393,1208283405,17.192,50.0,1,1360,惠來路二段,西屯區,no,True,True,False,contains
753036393,1208283497,586.863,50.00000000000001,4,5439,惠來路一段,西屯區,no,False,True,False,contains
753036393,2673110785,325.475,49.99999999999999,4,5439,市政路,西屯區,yes,False,True,False,contains
753036500,1234819127,19.744,50.0,1,1360,公益路二段,南屯區,yes,True,True,False,contains
753036500,1263334016,304.034,59.999999999999986,3,4079,文心路一段,南屯區,yes,False,False,False,contains
768592707,1264707090,23.272,50.0,1,1360,中清路二段,北屯區,yes,True,True,False,contains
768592707,2451467899,249.724,50.00000000000001,3,4079,文心路四段,北區,yes,False,True,False,contains
768592719,263152100,14.55,49.99999999999999,1,1360,健行路,北區,no,True,True,False,contains
768592719,2384398736,36.941,50.0,1,1360,健行路,北區,no,True,True,False,contains
768592721,791389919,634.783,50.0,1,1360,漢口路一段,西屯區,no,True,True,False,contains
768592721,2310876549,32.802,50.0,1,1360,漢口路二段,西屯區,no,True,True,False,contains
768592721,2310876556,55.881,50.0,4,5439,西屯路二段,西屯區,no,False,True,False,contains
768592748,2494657652,150.819,49.99999999999999,2,2719,中清路一段,北區,yes,False,True,False,contains
768592761,768592719,109.659,50.00000000000001,2,2719,中清路一段,北區,yes,False,True,False,contains
768592761,2285774550,11.675,50.0,1,1360,,北區,no,True,True,True,contains
768592761,2384398732,112.804,49.99999999999999,1,1360,梅川東路三段,北區,no,True,True,False,contains
768592762,2409937096,12.4,50.0,1,1360,天津路二段,北區,no,True,True,False,contains
768592762,2440639576,179.614,50.00000000000001,2,2719,中清路一段,北區,yes,False,True,False,contains
791017493,1210454810,172.356,50.0,4,5439,河南路二段,西屯區,yes,False,True,False,contains
791017493,2599103054,9.76,50.0,2,2719,西屯路二段,西屯區,no,False,True,False,contains
791389748,3504352683,52.922,49.99999999999999,1,1360,臺灣大道二段,北區,yes,True,True,False,contains
791389854,791389748,8.248,50.0,1,1360,中興街,西區,yes,True,True,False,contains
791389854,1019448878,157.266,49.99999999999999,1,1360,臺灣大道二段,西區,yes,True,True,False,contains
791389919,768592721,634.783,50.0,1,1360,漢口路一段,西屯區,no,True,True,False,contains
791389919,3469522868,61.657,50.0,1,1360,四川路,西屯區,no,True,True,False,contains
791389958,791401855,9.604,50.0,1,1360,博館路,西區,no,True,True,False,contains
791389958,2222553859,244.531,60.00000000000001,1,1360,忠明路,西區,yes,True,False,False,contains
791401854,3504352687,13.758,59.99999999999999,1,1360,忠明南路,西區,yes,True,False,False,contains
791401855,791389958,9.604,50.0,1,1360,博館路,西區,no,True,True,False,contains
791401855,2285844923,135.297,60.0,1,1360,忠明路,西區,yes,True,False,False,contains
957911268,378731550,156.815,50.0,1,1360,崇德路一段,北區,yes,True,True,False,contains
957911268,2273314783,9.435,50.0,1,1360,健行路,北區,no,True,True,False,contains
1019448873,791389748,157.123,50.0,1,1360,臺灣大道二段,西區,yes,True,True,False,contains
1019448873,1019448878,6.948,50.0,1,1360,健行路,西區,no,True,True,False,contains
1019448875,263152663,9.885,50.0,1,1360,惠中路,西屯區,no,True,True,False,contains
1019448875,1208283549,308.339,50.0,1,1360,臺灣大道三段,西屯區,yes,True,True,False,contains
1019448878,1019448873,6.948,50.0,1,1360,健行路,西區,no,True,True,False,contains
1019448878,3504352685,331.667,50.0,1,1360,臺灣大道二段,西區,yes,True,True,False,contains
1019448903,1019448911,11.745,50.0,2,2719,太原路一段,北區,yes,False,False,False,contains
1019448906,1019449044,12.354,50.0,4,5439,大墩路,南屯區,no,False,True,False,contains
1019448906,1263333950,314.16,50.0,2,2719,五權西路二段,南屯區,yes,False,False,False,contains
1019448906,2597789626,1184.0080000000003,50.000000000000014,4,5439,大墩路,南屯區,no,False,True,False,contains
1019448911,2384401272,161.813,49.99999999999999,1,1360,太原路二段,北區,yes,True,True,False,contains
1019448911,2408395759,30.511,50.0,2,2719,中清路一段,北區,yes,False,True,False,contains
1019448936,2273314804,126.14,50.0,1,1360,崇德路一段,北區,yes,True,True,False,contains
1019448936,5286997095,11.048,50.0,1,1360,太原路三段,北區,yes,True,True,False,contains
1019449001,2406512866,93.891,50.0,3,4079,五權西路一段,西區,yes,False,False,False,contains
1019449001,3387065012,10.252,50.0,1,1360,美村路一段,西區,no,True,True,False,contains
1019449005,2285844894,438.364,50.0,4,5439,公益路,西區,no,False,True,False,contains
1019449032,1019449044,374.631,49.99999999999999,4,5439,大墩路,南屯區,no,False,True,False,contains
1019449044,1019448906,12.354,50.0,4,5439,大墩路,南屯區,no,False,True,False,contains
1019449044,1019449032,374.631,50.00000000000001,4,5439,大墩路,南屯區,no,False,True,False,contains
1147069737,2320046578,9.834,50.0,1,1360,民生路,西區,no,True,True,False,contains
1147069737,10276618508,109.645,50.0,2,2719,五權路,西區,yes,False,False,False,contains
1166242282,753036393,314.72,50.0,4,5439,市政路,西屯區,yes,False,True,False,contains
1166242282,2674338880,17.411,50.0,1,1360,河南路三段,西屯區,yes,True,True,False,contains
1167823576,1167824081,10.791,50.0,2,2719,上安路,西屯區,no,False,True,False,contains
1167823576,1210455262,145.022,50.0,4,5439,河南路二段,西屯區,yes,False,True,False,contains
1167823606,1167824232,201.213,50.0,1,1360,青海南街,西屯區,no,True,True,False,contains
1167823606,2796037637,194.629,50.0,1,1360,青海南街,西屯區,no,True,True,False,contains
1167824081,1167823576,10.791,50.0,2,2719,上安路,西屯區,no,False,True,False,contains
1167824081,13582966261,215.366,50.00000000000001,4,5439,河南路二段,西屯區,yes,False,True,False,contains
1167824232,1167823606,201.213,50.0,1,1360,青海南街,西屯區,no,True,True,False,contains
1167824232,2386180264,1496.5400000000002,50.00000000000001,1,1360,西安街,西屯區,no,True,True,False,contains
1184149146,746174293,10.344,50.0,1,1360,逢大路,西屯區,no,True,True,False,contains
1184149146,2599103064,137.496,50.0,4,5439,河南路二段,西屯區,yes,False,True,False,contains
1184180455,1234819205,11.286,50.0,1,1360,惠文路,南屯區,no,True,True,False,contains
1184180455,6130545331,164.703,50.0,1,1360,公益路二段,南屯區,yes,True,False,False,contains
1192918508,1192918700,168.282,50.00000000000001,1,1360,朝富路,西屯區,no,True,True,False,contains
1192918508,3683225171,14.423,50.0,1,1360,朝富路,西屯區,no,True,True,False,contains
1192918508,13582966257,226.808,50.0,1,1360,臺灣大道三段,西屯區,yes,True,True,False,contains
1192918700,1192918508,168.28199999999998,49.99999999999999,1,1360,朝富路,西屯區,no,True,True,False,contains
1192918700,3426698187,685.701,50.0,4,5439,朝馬路,西屯區,no,False,True,False,contains
1192918963,5057628097,11.651,50.0,1,1360,朝富路,西屯區,no,True,True,False,contains
1193938417,703698045,112.481,50.00000000000001,1,1360,復興路四段,東區,yes,True,True,False,contains
1193938417,2286393459,177.116,50.0,4,5439,大智北路,東區,no,False,True,False,contains
1208283405,753036393,17.192,50.0,1,1360,惠來路二段,西屯區,no,True,True,False,contains
1208283405,1208283478,15.422,50.0,1,1360,惠來路二段,西屯區,no,True,True,False,contains
1208283405,2674338880,322.616,49.99999999999999,4,5439,市政路,西屯區,yes,False,True,False,contains
1208283411,1208283527,15.471,49.99999999999999,4,5439,市政路,西屯區,yes,False,True,False,contains
1208283411,2597739077,12.67,50.0,4,5439,惠中路一段,西屯區,yes,False,True,False,contains
1208283416,1208283411,17.536,60.0,1,1360,惠中路二段,西屯區,yes,True,False,False,contains
1208283416,1208283466,240.726,50.0,4,5439,市政路,西屯區,yes,False,True,False,contains
1208283424,1208283411,232.953,50.0,4,5439,市政路,西屯區,yes,False,True,False,contains
1208283424,1208283466,14.907,50.0,1,1360,惠文路,西屯區,no,True,True,False,contains
1208283466,1208283424,14.907,50.0,1,1360,惠文路,西屯區,no,True,True,False,contains
1208283466,1208283521,306.558,50.0,4,5439,市政路,西屯區,yes,False,True,False,contains
1208283478,1208283405,15.422,50.0,1,1360,惠來路二段,西屯區,no,True,True,False,contains
1208283478,1234819346,662.479,50.0,1,1360,惠來路二段,西屯區,no,True,True,False,contains
1208283497,753036393,586.8629999999999,50.0,4,5439,惠來路一段,西屯區,no,False,True,False,contains
1208283521,2597739054,11.042,60.0,3,4079,文心路二段,西屯區,yes,False,False,False,contains
1208283521,5645881376,22.21,50.0,4,5439,市政路,南屯區,yes,False,True,False,contains
1208283527,1208283405,322.538,49.99999999999999,4,5439,市政路,西屯區,yes,False,True,False,contains
1208283527,2673110785,18.077,50.0,3,4079,惠中路一段,西屯區,yes,False,True,False,contains
1208283549,1210454933,324.933,49.99999999999999,1,1360,惠來路三段,西屯區,no,True,True,False,contains
1208283549,2222701898,30.341,50.0,1,1360,臺灣大道三段,西屯區,yes,True,True,False,contains
1208283549,3683225178,16.095,50.0,1,1360,惠來路三段,西屯區,no,True,True,False,contains
1208293900,1263333959,216.843,60.0,3,4079,文心路一段,南屯區,yes,False,False,False,contains
1208293900,1263334038,22.938,50.0,1,1360,大墩十一街,南屯區,no,True,True,False,contains
1210454773,2599103060,120.894,50.0,4,5439,河南路二段,西屯區,yes,False,True,False,contains
1210454773,2599103062,16.04,50.0,1,1360,福上巷,西屯區,no,True,True,False,contains
1210454810,2569917262,135.755,50.0,4,5439,河南路二段,西屯區,yes,False,True,False,contains
1210454810,2599103059,12.323,50.0,1,1360,河南路二段301巷,西屯區,no,True,True,False,contains
1210454933,1208283549,324.933,49.99999999999999,1,1360,惠來路三段,西屯區,no,True,True,False,contains
1210454933,2310876554,290.04600000000005,50.000000000000014,1,1360,青海路二段,西屯區,yes,True,True,False,contains
1210454966,1264707073,130.139,59.99999999999999,3,4079,文心路三段,西屯區,yes,False,False,False,contains
1210455262,378722823,133.333,49.99999999999999,4,5439,河南路二段,西屯區,yes,False,True,False,contains
1210455262,2599103047,10.485,50.0,1,1360,智惠街,西屯區,no,True,True,False,contains
1210455303,1264707073,17.219,50.0,1,1360,臺灣大道二段,西屯區,yes,True,True,False,contains
1210455303,2320003261,198.327,60.0,3,4079,文心路三段,西屯區,yes,False,False,False,contains
1210476794,3426698187,16.306,50.0,4,5439,朝馬路,西屯區,no,False,True,False,contains
1215998836,2285844975,21.974,54.40006601749463,1,1360,忠太東路,北區,yes,True,True,False,contains
1229056176,1229056405,1135.622,50.0,4,5439,東山路一段,北屯區,no,False,True,False,contains
1229056176,2078496647,904.3990000000001,50.000000000000014,2,2719,東山路一段,北屯區,no,False,True,False,contains
1229056176,2336845134,637.49,50.0,4,5439,軍功路一段,北屯區,no,False,True,False,contains
1229056381,3212772158,422.61400000000003,50.000000000000014,4,5439,東山路一段,北屯區,no,False,True,False,contains
1229056405,1229056176,1135.622,50.0,4,5439,東山路一段,北屯區,no,False,True,False,contains
1234819109,1263333984,253.465,60.0,3,4079,文心路二段,西屯區,yes,False,False,False,contains
1234819109,2597737511,22.107,50.0,1,1360,市政北一路,西屯區,yes,True,True,False,contains
1234819119,6106382910,192.888,50.0,1,1360,惠文路647巷,南屯區,no,True,True,False,contains
1234819127,1234819312,11.754,60.0,3,4079,文心路一段,南屯區,yes,False,False,False,contains
1234819127,2597784475,123.737,50.00000000000001,1,1360,公益路二段,南屯區,yes,True,True,False,contains
1234819189,1234819274,22.266,50.0,1,1360,市政北一路,西屯區,yes,True,True,False,contains
1234819189,2597739061,149.869,60.0,3,4079,文心路二段,西屯區,yes,False,False,False,contains
1234819198,263152663,17.941,50.0,1,1360,惠中路,西屯區,no,True,True,False,contains
1234819198,2597767460,200.029,59.13428138121596,3,4079,惠中路一段,西屯區,yes,False,True,False,contains
1234819198,3683225182,368.584,50.0,1,1360,臺灣大道三段,西屯區,yes,True,False,False,contains
1234819205,1184180455,11.286,50.0,1,1360,惠文路,南屯區,no,True,True,False,contains
1234819205,1234819119,119.496,50.0,1,1360,公益路二段,南屯區,yes,True,True,False,contains
1234819205,6106382910,80.343,50.0,1,1360,惠文路,南屯區,no,True,True,False,contains
1234819227,1234819355,127.811,50.0,3,4079,惠中路一段,西屯區,yes,False,True,False,contains
1234819227,1234819389,13.707,50.00000000000001,1,1360,市政北二路,西屯區,no,True,True,False,contains
1234819274,1234819109,15.078,60.00000000000001,3,4079,文心路二段,西屯區,yes,False,False,False,contains
1234819279,1234819288,76.738,59.99999999999999,3,4079,惠中路一段,西屯區,yes,False,False,False,contains
1234819279,3212336320,12.81,50.00000000000001,1,1360,市政北五路,西屯區,no,True,True,False,contains
1234819288,1234819227,90.217,60.0,3,4079,惠中路一段,西屯區,yes,False,False,False,contains
1234819288,3212336327,14.333,49.99999999999999,1,1360,市政北三路,西屯區,no,True,True,False,contains
1234819308,1234819340,13.272,50.0,1,1360,市政北一路,西屯區,yes,True,True,False,contains
1234819308,2597739079,158.91299999999998,50.0,3,4079,惠中路一段,西屯區,yes,False,True,False,contains
1234819312,1263333959,19.402,50.0,1,1360,公益路二段,南屯區,yes,True,False,False,contains
1234819312,1263334038,219.62,60.0,3,4079,文心路一段,南屯區,yes,False,False,False,contains
1234819340,1234819433,11.91,50.0,4,5439,惠中路一段,西屯區,yes,False,True,False,contains
1234819346,1208283478,662.479,50.0,1,1360,惠來路二段,西屯區,no,True,True,False,contains
1234819346,3683225177,199.4,49.99999999999999,4,5439,惠來路二段,西屯區,no,False,True,False,contains
1234819355,1234819308,11.894,50.0,3,4079,惠中路一段,西屯區,yes,False,True,False,contains
1234819389,1234819227,13.707,50.00000000000001,1,1360,市政北二路,西屯區,no,True,True,False,contains
1234819389,3212336327,88.95899999999999,60.0,4,5439,惠中路一段,西屯區,yes,False,False,False,contains
1234819433,1234819355,13.321,50.0,1,1360,市政北一路,西屯區,yes,True,True,False,contains
1234819433,1234819389,127.873,49.99999999999999,4,5439,惠中路一段,西屯區,yes,False,True,False,contains
1245798154,1264707095,15.058,50.0,1,1360,昌平路一段,北屯區,no,True,True,False,contains
1245798154,2440630887,329.389,60.0,3,4079,文心路四段,北屯區,yes,False,False,False,contains
1253928433,1430832186,1352.0300000000002,56.639492601839905,1,1360,臺灣大道四段,西屯區,yes,True,True,False,contains
1253928433,2225388579,11.723,49.99999999999999,4,5439,工業區一路,西屯區,no,False,True,False,contains
1253928433,3893055357,21.75,50.0,4,5439,工業區一路,西屯區,no,False,True,False,contains
1263333950,1263334039,24.376,50.0,2,2719,五權西路二段,南屯區,yes,False,False,False,contains
1263333950,2522798457,280.799,59.999999999999986,3,4079,文心路一段,南屯區,yes,False,False,False,contains
1263333959,753036500,11.06,60.0,3,4079,文心路一段,南屯區,yes,False,False,False,contains
1263333959,2597789616,95.58,50.0,1,1360,公益路二段,南屯區,yes,True,False,False,contains
1263333961,1263333984,20.43,50.0,1,1360,大隆路,西屯區,no,True,True,False,contains
1263333961,2597737511,272.286,60.0,3,4079,文心路二段,西屯區,yes,False,False,False,contains
1263333967,704461096,16.745,50.0,1,1360,臺灣大道二段,西屯區,yes,True,True,False,contains
